Product_Name,Price,Rating,Availability,Product_Link
Downshifter 11 Sneakers For Men  (Blue),"₹1,990",4.2★,Available,https://www.flipkart.com/nike-downshifter-11-sneakers-men/p/itm09856afb5d3c5?pid=SHOGSFAZVG36ZYMA&lid=LSTSHOGSFAZVG36ZYMAD5ZSRW&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGSFAZVG36ZYMA.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
MOORE 3.0 Sneakers For Men  (Off White),"₹1,719",4.4★,Available,https://www.flipkart.com/u-s-polo-assn-moore-3-0-sneakers-men/p/itm64e1e2c0c74dd?pid=SHOGQYESHNKRNCN9&lid=LSTSHOGQYESHNKRNCN9XSIXOJ&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGQYESHNKRNCN9.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹285,3.7★,Available,https://www.flipkart.com/layasa-sneakers-men/p/itm4bfb14824c769?pid=SHOGBHRBBYT2EA4Z&lid=LSTSHOGBHRBBYT2EA4Z2QIPFB&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGBHRBBYT2EA4Z.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Trending Stylish Casual Outdoor Sneakers Shoes For Men Sneakers For Men  (White, Black)",₹299,3.8★,Available,https://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-sneakers-shoes-men/p/itm20f1e7caa80e8?pid=SHOGP8QUMPEYXDWX&lid=LSTSHOGP8QUMPEYXDWXQ4MXXV&marketplace=FLIPKART&q=sneakers&store=osp&spotlightTagId=BestsellerId_osp&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGP8QUMPEYXDWX.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),"₹1,275",4.1★,Available,https://www.flipkart.com/red-tape-sneakers-men/p/itmf92d6a59faecc?pid=SHOGPYYWEKGGSPA9&lid=LSTSHOGPYYWEKGGSPA9Z61OIN&marketplace=FLIPKART&q=sneakers&store=osp&spotlightTagId=FkPickId_osp&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGPYYWEKGGSPA9.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹595,4.1★,Available,https://www.flipkart.com/rapidbox-sneakers-men/p/itm00df7333b67b8?pid=SHOG72GEEPGGZNG8&lid=LSTSHOG72GEEPGGZNG8M5JG6K&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoybwEkoHqT1APlpV9328uJCbbQulMXpbyiSuSohR_WxtA%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Casual Sneakers ColourFul Block Shoes For Boys And Men Sneakers For Men  (Brown, White)",₹499,3.8★,Available,https://www.flipkart.com/labbin-casual-sneakers-colourful-block-shoes-boys-men/p/itmb5c12c780b8ac?pid=SHOGNGJ4CVEW82BE&lid=LSTSHOGNGJ4CVEW82BEH21YL4&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGNGJ4CVEW82BE.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Combo Pack Of 2 Casual Shoes Sneakers For Men Sneakers For Men  (Black),₹497,3.8★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-sneakers-men/p/itm20d7304f62cfc?pid=SHOGGFT6QZ4JB6K9&lid=LSTSHOGGFT6QZ4JB6K9WOOJJO&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoxJXBCTLIsLHNoDIAWJM9juSiNkqSgo38ChptQlzZYlHg%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Combo pack of 2 Sneakers for Shoes Sneakers For Men  (Blue, Grey)",₹497,3.9★,Available,https://www.flipkart.com/bruton-combo-pack-2-sneakers-shoes-men/p/itm9411b3b71d221?pid=SHOGGANNP4EQEPFK&lid=LSTSHOGGANNP4EQEPFKFPTNOJ&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoxR_LhT4ytqGVX8ad5Uk4bQ6lza2Yp40sKVfiXTpES7cg%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Zod Runner V3 Sneakers For Men  (Green),"₹1,198",4.1★,Available,https://www.flipkart.com/puma-zod-runner-v3-sneakers-men/p/itmfb0fda64656db?pid=SHOFUFGSTNE7FRB2&lid=LSTSHOFUFGSTNE7FRB2FXVD9B&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOFUFGSTNE7FRB2.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"2 Combo Sneaker Shoes Sneakers For Men  (Blue, Black)",₹497,3.7★,Available,https://www.flipkart.com/bruton-2-combo-sneaker-shoes-sneakers-men/p/itm5ff18e4bc81d0?pid=SHOGGDVTNP5MEYGY&lid=LSTSHOGGDVTNP5MEYGYRBP5XG&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoyHN99y76vBd-fRLhvlh2g_X9bwBFIZim0Aj6Bqz-2xVg%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
