,Product_Name,Description,Price,Rating out of 5
0,Mamaearth ME Discovery Set - 8 ml X 5,Lasts for up to 12 Hours | Phthalate-Free,₹487.00,5.0 ★
1,Mamaearth ME Eau De Parfum For a Fragrance As Unique As You - 50 ml,Unique Individual Fragrance |Lasts Upto 12 Hours,₹699.00,4.8 ★
2,ME Aqua Eau De Parfum For a Wave Of Freshness - 50 ml,Lasts up to 12 Hours | Made Safe Certified,₹699.00,4.5 ★
3,ME White Musk Eau De Parfum For a Fragrance Closest To Your Skin - 50 ml,Lasts Up to 12 Hours | Made Safe Certified,₹699.00,4.6 ★
4,ME Floral Eau De Parfum - Live in the Moment - 50 ml,Lasts up to 12 Hours | Made Safe Certified,₹699.00,4.0 ★
5,ME Oud Eau De Parfum to Unleash Your Confidence - 50 ml,Lasts up to 12 Hours | Made Safe Certified,₹699.00,4.1 ★
6,ME First Rain Eau De Parfum to Refresh Your Senses - 50 ml,Lasts up to 12 Hours | Made Safe Certified,₹699.00,4.0 ★
7,Mamaearth ME Eau De Parfum For a Fragrance As Unique As You - 8 ml Kit,Unique Individual Fragrance |Lasts Upto 12 Hours,₹434.00,4.9 ★
